"id","pop","lat","lon","Sex","Year","IBRA_SubRegion","Original_id","UTMX","UTMY","CoordLocation","Buffer_1km","Buffer_2km","Buffer_5km","Buffer_10km","Buffer_15km","Buffer_20km"
"Dh_16.239","Coolawanyah Station North",-21.478777,117.914488,"M",2014,"Chichester","16-239",594738.231711546,7624586.45184995,72,34,24,20,20,10,6
"Dh_16.241","Coolawanyah Station North",-21.481725,117.914938,"F",2014,"Chichester","16-241",594782.945039518,7624259.86683794,73,34,24,20,20,10,6
"Dh_16.242","Coolawanyah Station North",-21.482287,117.915391,"M",2014,"Chichester","16-242",594829.512494608,7624197.38481893,74,34,24,20,20,10,6
"Dh_16.251","Coolawanyah Station South",-21.69021,117.863437,"F",2014,"Chichester","16-251",589319.443081803,7601213.05678222,75,27,19,16,11,10,6
"Dh_16.253","Coolawanyah Station South",-21.688592,117.868643,"M",2014,"Chichester","16-253",589859.018675633,7601389.14610274,76,27,19,16,11,10,6
"Dh_16.255","Coolawanyah Station South",-21.690379,117.868146,"M",2014,"Chichester","16-255",589806.494587613,7601191.62909566,77,27,19,16,11,10,6
"Dh_16.256","Coolawanyah Station South",-21.694179,117.85919,"M",2014,"Chichester","16-256",588877.64681306,7600776.16560739,78,27,19,16,11,10,6
"Dh_16.257","Pannawonica Red Hill",-22.011,116.532,"M",2012,"Hamersley","16-257",451695.982238525,7565881.55828262,79,12,9,12,8,6,5
"Dh_16.260","Pannawonica Red Hill",-22.01012,116.48648,"M",2012,"Hamersley","16-260",446997.279768022,7565963.88193701,80,15,9,12,8,6,5
"Dh_16.261","Pannawonica Red Hill",-22.052558,116.553632,"M",2012,"Hamersley","16-261",453942.178174721,7561288.2287483,81,9,9,12,8,6,5
"Dh_16.262","Pannawonica Red Hill",-22.052558,116.553632,"M",2012,"Hamersley","16-262",453942.178174721,7561288.2287483,81,9,9,12,8,6,5
"Dh_16.263","Pannawonica Red Hill",-22.039309,116.553333,"F",2012,"Hamersley","16-263",453907.034499278,7562754.65747669,82,9,9,12,8,6,5
"Dh_16.270","Cane River CP",-21.98904304,115.56981,"F",2014,"Hamersley","16-270",352352.132862715,7567695.7422415,83,14,12,8,5,5,4
"Dh_16.281","McPhee Creek Mine",-21.615736,120.076817,"F",2014,"Chichester","16-281",818552.452105178,7606551.75755741,84,32,21,17,17,11,8
"Dh_16.285","Millstream Python",-21.33392103,117.240584,"F",2014,"Chichester","16-285",524947.63027743,7640876.62367137,85,37,26,22,14,14,11
"Dh_16.286","Millstream Python",-21.33058185,117.2393083,"M",2014,"Chichester","16-286",524815.906078768,7641246.39830997,86,37,26,22,14,14,11
"Dh_16.287","Millstream Python",-21.33392103,117.240584,"M",2014,"Chichester","16-287",524947.63027743,7640876.62367137,85,37,26,22,14,14,11
"Dh_16.311","Dolphin Island",-20.48865203,116.831265,"M",2014,"Roebourne","16-311",482404.522495829,7734433.8871464,87,73,48,39,29,19,14
"Dh_16.352","Quarry Site 1a",-20.50552,118.628566,"F",2012,"Chichester","16-352",669823.460081105,7731730.63230111,88,69,54,37,28,20,9
"Dh_16.353","Quarry Site 1a",-20.5296,118.649695,"M",2012,"Chichester","16-353",672000.298980532,7729042.85236027,89,70,54,37,28,20,9
"Dh_16.355","Quarry Site 1a",-20.5296,118.649695,"M",2012,"Chichester","16-355",672000.298980532,7729042.85236027,89,70,54,37,28,20,9
"Dh_16.421","Quarry Site 1a",-20.5291,118.6494,NA,2009,"Chichester","16-421",671970.094219049,7729098.51380256,90,70,54,37,28,20,9
"Dh_16.426","Quarry Site 1b",-21.3994,118.9042,NA,2009,"Chichester","16-426",697396.84151289,7632451.48612244,91,35,27,23,15,12,9
"Dh_16.435","Quarry Site 2a",-20.96974,118.75231,NA,2013,"Chichester","16-435",682173.448698152,7680204.14403853,92,56,33,28,24,15,9
"Dh_16.440","Karratha Chichester",-20.7272,116.98541,NA,2013,"Chichester","16-440",498480.940585702,7708043.33519776,93,64,42,32,26,19,14
"Dh_16.441","De grey Station",-20.3388,119.1238,NA,2012,"Roebourne","16-441",721720.175520912,7749597.6386329,94,75,51,41,30,20,9
"Dh_16.443","Quarry Site 2a",-20.9816,118.73626,NA,2013,"Chichester","16-443",680490.228270119,7678909.30680779,95,55,33,28,24,15,9
"Dh_16.445","Quarry Site 2b",-20.03331,119.19054,NA,2013,"Roebourne","16-445",729136.709956462,7783331.58132843,96,77,53,42,31,20,9
"Dh_16.447","Quarry Site 2a",-20.9692,118.75178,NA,2013,"Chichester","16-447",682118.990379715,7680264.53134264,97,56,33,28,24,15,9
"Dh_16.450","Indee Quarry 2",-20.80153,118.64848,NA,2013,"Chichester","16-450",671567.844380993,7698940.64735309,98,62,40,35,24,15,9
